caso_id,caso_nombre,modelo,pais,moneda,cargo,tipo_cliente,presupuesto,venta_facturada,venta_cobrada,cumplimiento_pct,dias_cobro,tasa_cartera_pct,iec_pct,factor_iec_pct,piso_situacion,factor_piso,comision_base,factor_ppto_pct,bono_excedente,ajustes,comision_final,explicacion
1,"Bajo presupuesto, IEC bajo, cobro rapido",Actual,CL,CLP,RTC,Cliente Final,20000000,10000000,10000000,50.0,15,7.5,55,20,cumple,1.0,750000,0,0,0,0,"Politica actual paga 0 al estar exactamente en 50% de cumplimiento, sin importar que cobro rapido (7.5%) e IEC no fueran catastroficos."
1,"Bajo presupuesto, IEC bajo, cobro rapido",Recomendado,CL,CLP,RTC,Cliente Final,20000000,10000000,10000000,50.0,15,7.5,55,65,cumple,1.0,750000,50,0,0,243750,"Modelo continuo reconoce el cumplimiento parcial (factor 50%) y el IEC medio-bajo (factor 65%) sin llevar la comision a cero."
1,"Bajo presupuesto, IEC bajo, cobro rapido",Alternativo,CL,CLP,RTC,Cliente Final,20000000,10000000,10000000,50.0,15,7.5,55,60,cumple,1.0,750000,50,0,0,225000,"Escala progresiva da resultado similar al continuo, algo mas conservador por el escalon de IEC."
2,"Bajo presupuesto, IEC alto, cobro rapido",Actual,CL,CLP,RTC,Cliente Final,20000000,10000000,10000000,50.0,10,7.5,96,105,cumple,1.0,750000,0,0,0,0,"Aun con IEC excelente (96%), la politica actual paga 0 por el corte abrupto en 50% de cumplimiento -- evidencia del problema de salto."
2,"Bajo presupuesto, IEC alto, cobro rapido",Recomendado,CL,CLP,RTC,Cliente Final,20000000,10000000,10000000,50.0,10,7.5,96,110,cumple,1.0,750000,50,0,0,412500,"El vendedor de IEC excelente recibe casi el doble que el Caso 1 (IEC bajo) con el mismo cumplimiento -- el modelo premia calidad incluso con volumen parcial."
2,"Bajo presupuesto, IEC alto, cobro rapido",Alternativo,CL,CLP,RTC,Cliente Final,20000000,10000000,10000000,50.0,10,7.5,96,110,cumple,1.0,750000,50,0,0,412500,"Resultado identico al Recomendado porque IEC 96% cae en el mismo tramo superior en ambos modelos."
3,"Presupuesto medio, IEC medio, cobro normal",Actual,PE,USD,RTC,Distribuidor,30000,21000,21000,70.0,90,5,75,70,cumple,1.0,1050,70,0,0,514.5,"Cumplimiento 70% cae en el tramo 51-79% (factor 70%) y IEC 75% en el tramo 70-84.9% (factor 70%) de la tabla actual."
3,"Presupuesto medio, IEC medio, cobro normal",Recomendado,PE,USD,RTC,Distribuidor,30000,21000,21000,70.0,90,5,75,83.3,cumple,1.0,1050,80,0,0,699.7,"El modelo continuo ya premia el 70% de cumplimiento con 80% de factor en vez de 70%, y el IEC medio con 83.3% en vez de 70%."
3,"Presupuesto medio, IEC medio, cobro normal",Alternativo,PE,USD,RTC,Distribuidor,30000,21000,21000,70.0,90,5,75,80,cumple,1.0,1050,80,0,0,672.0,"Escala progresiva da un resultado intermedio entre Actual y Recomendado."
4,"Presupuesto medio, IEC alto",Actual,PE,USD,RTC,Distribuidor,30000,21000,21000,70.0,90,5,93,90,cumple,1.0,1050,70,0,0,661.5,"IEC 93% cae en el tramo 92-94.9% (factor 90%) de la tabla actual; el cumplimiento sigue en 70%."
4,"Presupuesto medio, IEC alto",Recomendado,PE,USD,RTC,Distribuidor,30000,21000,21000,70.0,90,5,93,103.3,cumple,1.0,1050,80,0,0,867.7,"El factor IEC continuo supera 100% (103.3%) porque 93% ya esta muy cerca del techo de excelencia (95%)."
4,"Presupuesto medio, IEC alto",Alternativo,PE,USD,RTC,Distribuidor,30000,21000,21000,70.0,90,5,93,100,cumple,1.0,1050,80,0,0,840.0,"Escala progresiva da exactamente 100% de factor IEC para el tramo 92-94.9%."
5,"Cumplimiento 100%, IEC 95%",Actual,CL,CLP,KAM,Distribuidor,25000000,25000000,25000000,100.0,45,6,95,105,cumple,1.0,1500000,100,0,0,1575000,"Cumplimiento exacto de 100% y IEC excelente (95%) -- el mejor caso posible bajo la politica actual."
5,"Cumplimiento 100%, IEC 95%",Recomendado,CL,CLP,KAM,Distribuidor,25000000,25000000,25000000,100.0,45,6,95,110,cumple,1.0,1500000,105,0,0,1732500,"El modelo continuo premia el 100% de cumplimiento con 105% (no solo 100%) y el IEC 95% con el techo de 110%."
5,"Cumplimiento 100%, IEC 95%",Alternativo,CL,CLP,KAM,Distribuidor,25000000,25000000,25000000,100.0,45,6,95,110,cumple,1.0,1500000,105,0,0,1732500,"Resultado identico al Recomendado -- ambos modelos coinciden exactamente en los puntos de anclaje 100% y 95%."
6,"Cumplimiento 100%, IEC 80%",Actual,CL,CLP,KAM,Distribuidor,25000000,25000000,25000000,100.0,45,6,80,70,cumple,1.0,1500000,100,0,0,1050000,"Mismo cumplimiento que el Caso 5, pero IEC 80% cae en el tramo 70-84.9% (factor 70%) de la tabla actual -- una caida fuerte de comision solo por el IEC."
6,"Cumplimiento 100%, IEC 80%",Recomendado,CL,CLP,KAM,Distribuidor,25000000,25000000,25000000,100.0,45,6,80,86.7,cumple,1.0,1500000,105,0,0,1365525,"El modelo continuo suaviza la caida (86.7% en vez de 70%) sin dejar de premiar menos que el IEC excelente del Caso 5."
6,"Cumplimiento 100%, IEC 80%",Alternativo,CL,CLP,KAM,Distribuidor,25000000,25000000,25000000,100.0,45,6,80,80,cumple,1.0,1500000,105,0,0,1260000,"Escala progresiva da 80% de factor IEC, entre el 70% de Actual y el 86.7% del Recomendado."
7,"Cumplimiento 120%, IEC 75%",Actual,CL,CLP,RTC,Distribuidor,20000000,24000000,24000000,120.0,60,6,75,70,cumple,1.0,1440000,100,80000,0,1088000,"El factor de presupuesto de la politica actual no premia mas alla de 100% -- todo el beneficio del sobrecumplimiento llega solo via el bono de excedente (2% sin condicionar por IEC)."
7,"Cumplimiento 120%, IEC 75%",Recomendado,CL,CLP,RTC,Distribuidor,20000000,24000000,24000000,120.0,60,6,75,83.3,cumple,1.0,1440000,110,66640,0,1387072,"El factor de presupuesto sube a 110% (techo) y el bono de excedente se reduce proporcionalmente por el IEC medio (83.3%), reflejando la filosofia de no premiar volumen sin calidad."
7,"Cumplimiento 120%, IEC 75%",Alternativo,CL,CLP,RTC,Distribuidor,20000000,24000000,24000000,120.0,60,6,75,80,cumple,1.0,1440000,110,64000,0,1331200,"Resultado intermedio entre Actual y Recomendado."
8,"Cumplimiento 120%, IEC 98%",Actual,CL,CLP,RTC,Distribuidor,20000000,24000000,24000000,120.0,60,6,98,105,cumple,1.0,1440000,100,80000,0,1592000,"IEC excelente (98%) ya alcanza el techo de la tabla actual (105%); el bono de excedente no distingue calidad en este modelo."
8,"Cumplimiento 120%, IEC 98%",Recomendado,CL,CLP,RTC,Distribuidor,20000000,24000000,24000000,120.0,60,6,98,110,cumple,1.0,1440000,110,88000,0,1830400,"Volumen alto (120%) y calidad excelente (98%) se combinan sin penalizacion -- es el mejor caso posible bajo el modelo recomendado."
8,"Cumplimiento 120%, IEC 98%",Alternativo,CL,CLP,RTC,Distribuidor,20000000,24000000,24000000,120.0,60,6,98,110,cumple,1.0,1440000,110,88000,0,1830400,"Resultado identico al Recomendado -- IEC 98% cae en el techo en ambos modelos."
9,"Venta de contado",Actual,PE,USD,RTC,Distribuidor,15000,6000,6000,40.0,0,8,85,80,cumple,1.0,480,0,0,0,0,"Aunque el cobro es de contado (tasa 8%, la mas alta de la tabla) y el IEC es bueno (85%), el cumplimiento de solo 40% deja la comision en cero bajo la politica actual."
9,"Venta de contado",Recomendado,PE,USD,RTC,Distribuidor,15000,6000,6000,40.0,0,8,85,90,cumple,1.0,480,40,0,0,172.8,"El modelo continuo reconoce el 40% de cumplimiento (factor 40%) en vez de anularlo -- la venta de contado con buen IEC no queda en cero."
9,"Venta de contado",Alternativo,PE,USD,RTC,Distribuidor,15000,6000,6000,40.0,0,8,85,90,cumple,1.0,480,0,0,0,0,"La escala progresiva todavia tiene un piso duro por debajo de 50% de cumplimiento -- solo el modelo continuo elimina completamente este salto."
10,"Venta con cobro tardio",Actual,CL,CLP,RTC,Cliente Final,20000000,12000000,12000000,60.0,250,2.5,80,70,cumple,1.0,300000,70,0,0,147000,"El cobro tardio (250 dias) ya cayo a una tasa de cartera baja (2.5%) -- el principal castigo viene de la tasa, no de un factor adicional de cartera."
10,"Venta con cobro tardio",Recomendado,CL,CLP,RTC,Cliente Final,20000000,12000000,12000000,60.0,250,2.5,80,86.7,cumple,1.0,300000,65,0,0,169065,"Mismo castigo por tasa de cartera; el factor de cumplimiento continuo (65%) y el factor IEC (86.7%) son ligeramente mas favorables que el modelo actual."
10,"Venta con cobro tardio",Alternativo,CL,CLP,RTC,Cliente Final,20000000,12000000,12000000,60.0,250,2.5,80,80,cumple,1.0,300000,65,0,0,156000,"Resultado intermedio."
11,"Venta bajo piso autorizada",Actual,CL,CLP,RTC,Distribuidor,20000000,20000000,20000000,100.0,40,6,65,20,autorizada,0.5,1200000,100,0,0,120000,"El factor de precio piso (0.5, por autorizacion formal) reduce la comision a la mitad; ademas el IEC bajo (65%, refleja la venta bajo piso) cae en el tramo mas punitivo de la tabla actual (factor 20%)."
11,"Venta bajo piso autorizada",Recomendado,CL,CLP,RTC,Distribuidor,20000000,20000000,20000000,100.0,40,6,65,75,autorizada,0.5,1200000,105,0,0,472500,"El mismo factor de piso (0.5) se mantiene -- la autorizacion no elimina la reduccion, solo evita el veto total. El factor IEC continuo (75%) es menos punitivo que el de la politica actual."
11,"Venta bajo piso autorizada",Alternativo,CL,CLP,RTC,Distribuidor,20000000,20000000,20000000,100.0,40,6,65,60,autorizada,0.5,1200000,105,0,0,378000,"Resultado intermedio entre Actual y Recomendado, con el mismo factor de piso 0.5 en los tres modelos."
12,"Venta bajo piso sin autorizacion",Actual,CL,CLP,RTC,Distribuidor,20000000,20000000,20000000,100.0,40,6,65,20,no_autorizada,0,1200000,100,0,0,0,"Sin autorizacion formal, el factor de precio piso es 0 -- veto total, sin importar cumplimiento ni IEC. Igual en los tres modelos."
12,"Venta bajo piso sin autorizacion",Recomendado,CL,CLP,RTC,Distribuidor,20000000,20000000,20000000,100.0,40,6,65,75,no_autorizada,0,1200000,105,0,0,0,"El veto de precio piso anula la comision independientemente de que el resto de los factores sea favorable -- valida la regla de que la falta de autorizacion es un veto, no una reduccion."
12,"Venta bajo piso sin autorizacion",Alternativo,CL,CLP,RTC,Distribuidor,20000000,20000000,20000000,100.0,40,6,65,60,no_autorizada,0,1200000,105,0,0,0,"Mismo resultado -- el veto de precio piso es independiente del modelo de presupuesto/IEC elegido."
